Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Music,High 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission average of 75%.
English at 60%.",No,N/A,"Successful audition.
Interview with a faculty member.
Theory and ear training test (equivalent to Royal Conservatory of Music Advanced Rudiments)."
North American Studies,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",Yes,N/A,N/A
Philosophy,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",Yes,N/A,N/A
Physics,Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
English at 60%.
Advanced Functions at 60%.
Two of Calculus, Chemistry or Physics at 60%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Policing,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",No,N/A,N/A
Political Science,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",Yes,N/A,N/A
Psychology (BA) (Brantford) ,Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
English at 60%.
One of the following: 3M Functions, 3U Functions & Relations or any 4U Mathematics at 60%.
English calculated in admission average.",No,N/A,N/A
Psychology (BA) (Waterloo),Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
English at 60%.
One of the following: 3M Functions, 3U Functions & Relations or any 4U Mathematics at 60%.
English calculated in admission average.",Yes,N/A,N/A
Psychology (BSc) (Waterloo),Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
English at 60%.
Advanced Functions and Biology each at 60%.
For the BSc in Psychology and Computer Science: English, Advanced Functions at 60%, and one of Calculus, Chemistry, Physics or Biology at 60%.
All prerequisite courses calculated in admission average.",Yes,N/A,N/A
Psychology and Neuroscience,Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of mid 70s.
English at 60%.
Advanced Functions and Biology each at 60%.
All prerequisite courses calculated in admission average.",No,N/A,N/A
Public Health,Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of low 70s.
English at 60%.
Advanced Functions, Biology and Chemistry each at 60%.
All prerequisite courses calculated in admission average.",No,N/A,N/A
Religion and Culture,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",Yes,N/A,N/A
Social Work,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",No,N/A,N/A
Sociology,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",Yes,N/A,N/A
Spanish,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",Yes,N/A,N/A
User Experience Design,Mid 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 70%.",Yes,N/A,N/A
Women and Gender Studies,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",Yes,N/A,N/A
Youth and Children’s Studies,Low 80s,"0.50 or equivalent
679.36","0.50 or equivalent
2,532.00","Minimum admission range of Low 70s.
English at 60%.",No,N/A,N/A
