Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolment,Supplementary_Application
Geography,75,6476,23861,"ENG4U,MHF4U/MCV4U,SBI4U/SPH4U/SCH4U/SES4U",Yes,N/A,No
Hispanic and Latin American Studies ,75,6476,23861,ENG4U,No,N/A,No
History,77,6476,23861,ENG4U,Yes,N/A,No
Interactive Arts and Science,75,6476,23861,ENG4U  ,No,N/A,No
International Political Economy,75,6476,23861,"ENG4U,MHF4U/MCV4U",No,N/A,No
Italian Studies,75,6476,23861,ENG4U,No,N/A,No
Kinesiology,80,6476,23861,"ENG4U,SBI4U,One 4U Math",No,N/A,No
Labour Studies ,75,6476,23861,ENG4U,Yes,N/A,No
Mathematics and Statistics ,75,6476,23861,"MHF4U,MCV4U",Yes,N/A,No
Media and Communication Studies ,75,6476,23861,ENG4U,No,N/A,No
Medical Sciences ,85,6476,23861,"ENG4U,SBI4U,SCH4U,One 4U Math",No,N/A,No
Medieval and Renaissance Studies ,75,6476,23861,ENG4U,No,N/A,No
Music,75,6476,23861,ENG4U  ,No,N/A,Yes 
Nursing ,90,6476,23861,"ENG4U,SBI4U,SCH4U,One 4U Math",No,N/A,Yes
Oenology and Viticulture,75,6476,23861,"MHF4U/MCV4U,SCH4U,Two from SBI4U/SPH4U/SES4U/Second 4U Math or ENG4U",Yes,N/A,No 
Philosophy,75,6476,23861,ENG4U,No,N/A,No
Physical Education,75,6476,23861,"ENG4U,SBI4U,One 4U Math",No,N/A,No
Physics,75,6476,23861,"ENG4U,SPH4U",Yes,N/A,No
Political Science,77,6476,23861,ENG4U,Yes,N/A,No
Popular Culture,75,6476,23861,ENG4U,No,N/A,No
Psychology,80,6476,23861,ENG4U,Yes,N/A,No
Public Health,80,6476,23861,"ENG4U,SBI4U/SCH4U",Yes,N/A,No
Recreation and Leisure Studies,75,6476,23861,ENG4U,No,N/A,No
Sciences ,75,6476,23861,Two from SBI4U/SCH4U/SPH4U/MCV4U/MHF4U/SES4U/ICS4U,No,N/A,No
Social Sciences,75,6476,23861,ENG4U,No,N/A,No
Sociology,75,6476,23861,ENG4U,No,N/A,No
Sport Management,75,6476,23861,"ENG4U, One 4U Math ",No,N/A,No
Studies in Arts and Culture,75,6476,23861,ENG4U  ,No,N/A,No
Tourism Studies,75,6476,23861,ENG4U,Yes,N/A,No
Visual Arts,75,6476,23861,ENG4U  ,No,N/A,Yes
Women's and Gender Studies,75,6476,23861,ENG4U,No,N/A,No
